ano,mes,dia,MSRP,valorUnitario,quantidadeEncomendada,vendas,linhaDeProduto_cod
2003,2,24,95,95.7,30,2871.0,1
2003,5,07,95,81.35,34,2765.9,1
2003,7,01,95,94.74,41,3884.34,1
2003,8,25,95,83.26,45,3746.7,1
2003,10,10,95,100.0,49,5205.27,1
2003,10,28,95,96.66,36,3479.76,1
2003,11,11,95,86.13,29,2497.77,1
2003,11,18,95,100.0,48,5512.32,1
2003,12,01,95,98.57,22,2168.54,1
2004,1,15,95,100.0,41,4708.44,1
2004,2,20,95,100.0,37,3965.66,1
2004,4,05,95,100.0,23,2333.12,1
2004,5,18,95,100.0,28,3188.64,1
2004,6,28,95,100.0,34,3676.76,1
2004,7,23,95,92.83,45,4177.35,1
2004,8,27,95,100.0,36,4099.68,1
2004,9,30,95,100.0,23,2597.39,1
2004,10,15,95,100.0,41,4394.38,1
2004,11,02,95,94.74,46,4358.04,1
2004,11,15,95,100.0,42,4396.14,1
2004,11,24,95,100.0,41,7737.93,1
2004,12,17,95,72.55,20,1451.0,1
2005,2,03,95,34.91,21,733.11,1
2005,3,03,95,76.36,42,3207.12,1
2005,4,08,95,100.0,24,2434.56,1
2003,1,29,214,100.0,26,5404.62,2
2003,3,24,214,100.0,29,7209.11,2
2003,5,28,214,100.0,38,7329.06,2
2003,7,24,214,100.0,37,7374.1,2
2003,9,19,214,100.0,45,10993.5,2
2003,10,20,214,100.0,21,4860.24,2
2003,11,06,214,100.0,34,8014.82,2
2003,11,13,214,100.0,23,5372.57,2
2003,11,25,214,100.0,42,7290.36,2
2003,12,05,214,100.0,47,9064.89,2
2004,1,29,214,100.0,35,6075.3,2
2004,3,10,214,100.0,29,6463.23,2
2004,5,04,214,100.0,34,6120.34,2
2004,6,15,214,100.0,32,7680.64,2
2004,7,19,214,100.0,21,4905.39,2
2004,8,17,214,100.0,34,8014.82,2
2004,9,08,214,100.0,37,7136.19,2
2004,10,11,214,100.0,47,10172.7,2
2004,10,21,214,100.0,48,11623.7,2
2004,11,04,214,100.0,40,6000.4,2
2004,11,18,214,100.0,26,3003.0,2
2004,11,29,214,100.0,30,3944.7,2
2004,12,10,214,100.0,32,5691.84,2
2005,1,20,214,100.0,41,4514.92,2
2005,2,17,214,100.0,36,8254.8,2
2005,3,09,214,100.0,24,2416.56,2
2005,5,01,214,100.0,23,4140.23,2
2003,2,24,118,99.91,39,3896.49,1
2003,4,29,118,96.34,29,2793.86,1
2003,7,01,118,100.0,27,3307.77,1
2003,8,25,118,100.0,37,5192.95,1
2003,10,10,118,100.0,37,5016.83,1
2003,10,28,118,100.0,27,3660.93,1
2003,11,11,118,100.0,42,4695.6,1
2003,11,18,118,96.34,38,3660.92,1
2003,12,01,118,100.0,24,3025.92,1
2004,1,12,118,100.0,23,3009.09,1
2004,2,20,118,100.0,47,5422.39,1
2004,4,03,118,100.0,22,2852.08,1
2004,5,18,118,100.0,44,5756.52,1
2004,6,28,118,100.0,40,4472.0,1
2004,7,23,118,100.0,22,2904.44,1
2004,8,27,118,100.0,47,6484.59,1
2004,9,27,118,96.34,39,3757.26,1
2004,10,15,118,100.0,34,4043.96,1
2004,11,02,118,100.0,45,5566.5,1
2004,11,15,118,100.0,20,3176.0,1
2004,11,23,118,68.92,40,2756.8,1
2004,12,17,118,51.15,26,1329.9,1
2005,2,02,118,100.0,39,5288.01,1
2005,3,03,118,44.51,50,2225.5,1
2005,4,07,118,100.0,45,5833.8,1
2003,2,24,193,100.0,27,6065.55,1
2003,4,29,193,100.0,46,9264.86,1
2003,7,01,193,100.0,31,7023.98,1
2003,8,25,193,100.0,33,5176.38,1
2003,10,10,193,100.0,22,4132.7,1
2003,10,28,193,100.0,20,4183.0,1
2003,11,11,193,100.0,41,8892.9,1
2003,11,18,193,100.0,45,8714.7,1
2003,12,01,193,100.0,49,8065.89,1
2004,1,12,193,100.0,34,6123.4,1
2004,2,20,193,100.0,49,9774.03,1
2004,4,05,193,100.0,39,7023.9,1
2004,5,18,193,100.0,43,7078.23,1
2004,6,28,193,100.0,41,8336.94,1
2004,7,23,193,100.0,36,6901.92,1
2004,8,27,193,100.0,27,5438.07,1
2004,9,30,193,100.0,29,6683.34,1
2004,10,15,193,100.0,20,4570.4,1
2004,11,02,193,100.0,37,7667.14,1
2004,11,15,193,100.0,26,5868.2,1
2004,11,23,193,76.67,39,2990.13,1
2005,1,05,193,100.0,22,3664.1,1
2005,2,02,193,100.0,22,3834.38,1
2005,3,03,193,86.77,21,1822.17,1
2005,4,08,193,100.0,66,11886.6,1
2003,2,11,136,100.0,50,7208.0,2
2003,4,28,136,100.0,46,5004.8,2
2003,6,12,136,100.0,33,4398.24,2
2003,8,10,136,100.0,49,5597.76,2
2003,10,06,136,100.0,32,4526.08,2
2003,11,08,136,100.0,24,3492.48,2
2003,11,14,136,100.0,26,3854.24,2
2003,11,26,136,100.0,45,5324.4,2
2004,1,09,136,100.0,39,5197.92,2
2004,2,19,136,100.0,49,5997.6,2
2004,6,17,136,100.0,27,3378.24,2
